apply_id,user_hash,apply_ts,ip,ip_country,device_fp,device_drift,mouse_jitter_ms,key_burst_ratio,rdp_latency_ms,immig_overseas,prev_in_defaulter,separation_voluntary,device_changed,tz_changed,apply_count_6m,loss_retroactive_days,training_ip_overseas,region_surge_pct,label,risk_score,reasons,pred_p25
A000592,U6542,2026-04-28T10:00:00+09:00,211.114.198.236,KR,FP_87707,0.097,26.2,0.8,0,False,False,True,False,False,1,0,False,0.7618380474175596,0,0,,0
A000680,U0131,2026-04-08T11:00:00+09:00,211.192.112.100,KR,FP_34772,-0.007,22.1,1.09,10.4,False,False,False,False,False,0,2,False,-0.0027860535289845434,0,0,,0
A000558,U7962,2026-04-03T15:00:00+09:00,211.126.78.95,KR,FP_32699,0.045,24.8,0.97,12.7,False,False,False,False,False,0,-3,False,-3.569734238047368,0,0,,0
A000027,U8446,2026-04-22T18:00:00+09:00,211.171.47.120,KR,FP_88185,0.068,13.3,1.34,5.9,False,False,False,False,False,0,2,False,2.458310324465662,0,0,,0
A000989,U7323,2026-04-19T16:00:00+09:00,104.16.1.161,OVERSEAS,FP_04896,0.042,34.5,1.04,0,True,False,True,False,False,0,3,True,-6.416469628383118,1,100,ip_overseas|L5C:훈련_해외IP|L5B:immig_overseas,1
A000284,U4909,2026-04-01T15:00:00+09:00,211.149.118.3,KR,FP_71856,0.014,27.3,0.81,3.1,False,False,False,False,False,0,-1,False,12.312240186055698,0,0,,0
A000134,U9903,2026-04-23T12:00:00+09:00,211.203.122.164,KR,FP_37102,0.005,28.4,0.9,8.0,False,False,False,False,False,2,0,False,0.6414257543091361,0,0,,0
A000465,U8334,2026-04-25T17:00:00+09:00,211.197.58.137,KR,FP_07948,0.029,14.7,1.23,6.1,False,False,False,True,False,0,1,False,0.9683213626493172,0,18,L5D:device_변경,0
A000911,U5384,2026-04-06T17:00:00+09:00,211.102.7.219,KR,FP_10444,0.718,126.0,2.07,124.9,True,True,True,False,True,3,-13,False,0.5775596214879571,1,100,mouse_jitter=126ms|key_burst=2.07|rdp_latency=125ms|device_drift=0.72|L5E:체불사업장_자의퇴직위장|L5D:tz_변경|L5D:반복신청_3회|L5F:상실지연_13일|L5B:immig_overseas,1
A000289,U8535,2026-04-04T13:00:00+09:00,211.246.152.101,KR,FP_47242,0.081,35.2,0.8,5.5,False,False,False,False,False,0,-3,False,4.795576269854854,0,0,,0
A000556,U3261,2026-04-16T13:00:00+09:00,211.60.215.250,KR,FP_72106,-0.026,20.4,1.23,11.0,False,False,False,False,False,0,3,False,-3.692685809127073,0,0,,0
A000889,U7142,2026-04-09T11:00:00+09:00,211.117.209.159,KR,FP_21841,0.062,12.8,0.98,6.4,False,False,False,False,False,1,-2,False,1.79289151258913,0,0,,0
A000839,U3166,2026-04-26T13:00:00+09:00,211.73.186.30,KR,FP_62095,0.104,20.3,1.28,0.6,False,False,True,False,False,0,-1,False,16.51172976124386,0,0,,0
A000145,U6686,2026-04-04T09:00:00+09:00,211.45.181.47,KR,FP_78241,0.07,12.8,0.9,1.9,False,False,True,False,False,1,-2,False,5.484708135422183,0,0,,0
A000532,U7547,2026-04-11T11:00:00+09:00,211.151.112.255,KR,FP_89127,-0.015,23.7,1.18,10.9,False,False,False,False,False,0,2,False,24.23031062995561,0,0,,0
A000253,U8363,2026-04-03T15:00:00+09:00,211.186.5.122,KR,FP_80483,0.104,13.2,0.8,6.9,False,False,False,False,False,0,2,False,4.546630844153854,0,0,,0
A000670,U2053,2026-04-30T17:00:00+09:00,211.125.208.70,KR,FP_79371,0.047,28.2,0.97,6.9,False,False,False,False,False,0,3,False,2.0175193029827017,0,0,,0
A000090,U5494,2026-04-26T11:00:00+09:00,211.70.19.146,KR,FP_61926,0.041,14.8,0.94,0,False,True,True,False,False,1,1,False,12.747061563300374,0,35,L5E:체불사업장_자의퇴직위장,0
A000136,U4027,2026-04-16T17:00:00+09:00,211.172.131.250,KR,FP_94839,0.013,11.0,1.17,12.8,False,False,False,False,False,1,1,False,25.061692643005394,0,0,,0
A000436,U8412,2026-04-04T17:00:00+09:00,211.217.211.48,KR,FP_60904,0.016,9.0,1.0,8.8,False,False,False,False,False,0,-2,False,4.3358852478203245,0,0,,0
A000065,U5877,2026-04-02T15:00:00+09:00,211.141.97.62,KR,FP_59601,0.13,25.8,1.08,0,False,False,False,False,False,0,-2,False,-20.458513684479417,0,0,,0
A000105,U0675,2026-04-27T09:00:00+09:00,211.41.23.135,KR,FP_85345,0.147,23.2,1.25,4.1,False,False,False,False,False,0,-2,False,-1.67612530372628,0,0,,0
A000694,U6950,2026-04-16T11:00:00+09:00,211.249.71.214,KR,FP_52351,0.075,20.3,1.32,4.8,False,False,False,False,False,1,1,False,-3.2408972109450316,0,0,,0
A000525,U8694,2026-04-09T12:00:00+09:00,211.188.231.243,KR,FP_67491,0.054,14.5,1.07,17.5,False,False,True,False,False,0,3,False,-2.1797795565481657,0,0,,0
A000867,U4081,2026-04-01T15:00:00+09:00,211.90.192.22,KR,FP_39621,0.077,23.7,1.17,1.1,False,False,False,False,False,1,-3,False,-17.641920145663605,0,0,,0
A000785,U1482,2026-04-21T15:00:00+09:00,211.160.254.95,KR,FP_99165,0.089,14.2,1.11,3.8,False,False,False,False,False,2,-1,False,-8.960968363144652,0,0,,0
A000316,U6458,2026-04-20T18:00:00+09:00,211.19.55.231,KR,FP_59887,0.057,17.4,1.24,4.8,False,False,False,False,False,0,2,False,6.310596127856925,0,0,,0
A000970,U4968,2026-04-08T17:00:00+09:00,172.217.252.112,OVERSEAS,FP_42612,0.006,7.2,1.01,11.6,True,False,False,False,False,0,0,True,11.559836488261757,1,100,ip_overseas|L5C:훈련_해외IP|L5B:immig_overseas,1
A000416,U4167,2026-04-28T18:00:00+09:00,211.28.251.191,KR,FP_91701,0.091,17.2,0.8,8.5,False,False,False,False,False,0,2,False,-5.786613856223687,0,0,,0
A000888,U7841,2026-04-06T11:00:00+09:00,211.112.100.18,KR,FP_49997,-0.006,32.7,1.38,11.0,False,False,False,False,False,0,-1,False,-7.970902920434649,0,0,,0
A000493,U3729,2026-04-08T12:00:00+09:00,211.242.119.239,KR,FP_94701,0.02,23.6,0.83,13.3,False,False,False,False,False,0,3,False,9.934561549209095,0,0,,0
A000249,U1609,2026-04-07T18:00:00+09:00,211.249.169.182,KR,FP_16806,0.068,16.5,0.87,4.6,False,False,False,False,False,0,2,False,3.712007794013565,0,0,,0
A000511,U0649,2026-04-17T15:00:00+09:00,211.147.12.117,KR,FP_96060,0.083,16.4,1.13,0,False,False,False,False,False,0,1,False,-5.324476553117343,0,0,,0
A000872,U8871,2026-04-28T10:00:00+09:00,211.74.65.74,KR,FP_99683,0.105,25.0,1.26,4.5,False,False,False,False,False,0,-2,False,4.8059585613566895,0,0,,0
A000752,U1751,2026-04-03T12:00:00+09:00,211.82.166.245,KR,FP_94538,-0.053,6.4,1.33,2.1,False,False,False,False,False,0,1,False,-2.9975712972162056,0,0,,0
A000084,U6422,2026-04-05T18:00:00+09:00,211.43.158.192,KR,FP_84344,0.074,5,0.82,0,False,False,False,False,False,0,0,False,-1.9155403586606943,0,0,,0
A000999,U8959,2026-04-08T13:00:00+09:00,203.0.208.140,OVERSEAS,FP_59384,0.015,14.3,0.99,2.3,True,False,False,False,False,1,1,True,1.9876019100870708,1,100,ip_overseas|L5C:훈련_해외IP|L5B:immig_overseas,1
A000415,U1479,2026-04-08T18:00:00+09:00,211.62.160.168,KR,FP_76589,0.034,18.5,0.8,4.6,False,False,True,False,False,0,0,False,-23.397197608416537,0,0,,0
A000463,U2958,2026-04-14T09:00:00+09:00,211.162.195.131,KR,FP_11931,0.032,23.4,1.06,6.4,False,False,True,False,False,0,-2,False,4.855866197769539,0,0,,0
A000443,U7689,2026-04-12T16:00:00+09:00,211.118.112.173,KR,FP_78919,0.118,29.6,0.8,0,False,False,False,False,False,1,2,False,4.078813099425827,0,0,,0
A000076,U6476,2026-04-20T09:00:00+09:00,211.3.104.154,KR,FP_27687,0.059,5,0.98,7.5,False,False,False,False,False,0,-2,False,-18.930820493615506,0,0,,0
A000826,U1754,2026-04-08T10:00:00+09:00,211.90.191.33,KR,FP_20186,0.017,16.8,1.07,6.0,False,False,False,False,False,1,-3,False,7.793651799140403,0,0,,0
A000944,U7475,2026-04-03T17:00:00+09:00,211.151.74.187,KR,FP_75928,0.933,90.2,2.68,147.5,True,False,True,True,False,2,-17,False,5.178648537188408,1,100,mouse_jitter=90ms|key_burst=2.68|rdp_latency=148ms|device_drift=0.93|L5D:device_변경|L5F:상실소급_17일|L5B:immig_overseas,1
A000721,U2931,2026-04-14T17:00:00+09:00,211.196.40.76,KR,FP_00912,0.04,7.9,1.4,2.2,False,False,False,False,False,0,-1,False,-3.5609849056361496,0,0,,0
A000162,U4795,2026-04-10T18:00:00+09:00,211.136.48.69,KR,FP_98317,0.075,5,1.4,4.5,False,False,False,False,False,0,3,False,0.2959246964371866,0,0,,0
A000626,U6438,2026-04-04T12:00:00+09:00,211.137.253.105,KR,FP_22418,0.06,11.0,0.94,11.5,False,False,True,False,False,0,0,False,-1.3401749409957853,0,0,,0
A000646,U3877,2026-04-04T11:00:00+09:00,211.196.215.32,KR,FP_08117,0.031,16.8,1.04,3.4,False,False,False,False,False,1,-1,False,8.520484454527043,0,0,,0
A000606,U5868,2026-04-06T12:00:00+09:00,211.113.152.99,KR,FP_70179,0.093,6.4,1.07,0.4,False,False,True,False,False,0,-3,False,-8.49104201631782,0,0,,0
A000132,U9215,2026-04-14T15:00:00+09:00,211.68.198.124,KR,FP_33423,0.071,33.8,1.34,0.5,False,False,False,False,False,0,2,False,-2.2450089274023894,0,0,,0
A000174,U2878,2026-04-04T09:00:00+09:00,211.70.5.83,KR,FP_65066,0.108,16.5,1.07,0,False,False,True,False,False,0,-3,False,0.3277080289936971,0,0,,0
