apply_id,user_hash,apply_ts,ip,ip_country,device_fp,device_drift,mouse_jitter_ms,key_burst_ratio,rdp_latency_ms,immig_overseas,label,risk_score,reasons,pred
A000956,U3176,2026-04-30T15:00:00+09:00,211.55.140.230,KR,FP_69063,0.885,139.2,2.22,144.8,True,1,80,mouse_jitter=139ms|key_burst=2.22|rdp_latency=145ms|device_drift=0.89|immig_overseas,1
A000059,U3996,2026-04-25T16:00:00+09:00,211.194.172.14,KR,FP_64790,0.069,14.9,1.08,13.7,False,0,0,,0
A000032,U6659,2026-04-20T11:00:00+09:00,211.121.83.90,KR,FP_54041,0.131,22.5,0.8,15.0,False,0,0,,0
A000205,U5223,2026-04-23T15:00:00+09:00,211.209.76.153,KR,FP_49344,0.075,31.4,1.01,8.6,False,0,0,,0
A000604,U1915,2026-04-10T09:00:00+09:00,211.205.112.228,KR,FP_46845,0.064,21.8,0.83,0,False,0,0,,0
A000762,U2249,2026-04-13T10:00:00+09:00,211.173.107.156,KR,FP_59796,0.056,38.2,0.8,0,False,0,0,,0
A000051,U6212,2026-04-11T12:00:00+09:00,211.232.167.172,KR,FP_99776,0.079,14.5,1.2,3.4,False,0,0,,0
A000544,U7890,2026-04-23T10:00:00+09:00,211.72.143.238,KR,FP_67758,0.143,29.9,1.19,8.0,False,0,0,,0
A000067,U9222,2026-04-10T10:00:00+09:00,211.127.60.213,KR,FP_79472,-0.007,12.1,1.03,0.2,False,0,0,,0
A000979,U5539,2026-04-14T13:00:00+09:00,123.45.120.252,OVERSEAS,FP_18257,0.076,37.7,0.84,12.4,True,1,90,ip_overseas|immig_overseas,1
A000171,U6564,2026-04-02T18:00:00+09:00,211.99.185.147,KR,FP_09638,0.009,27.2,0.8,2.1,False,0,0,,0
A000596,U3347,2026-04-17T09:00:00+09:00,211.150.213.67,KR,FP_62116,0.019,28.9,0.9,1.7,False,0,0,,0
A000988,U0349,2026-04-16T09:00:00+09:00,172.217.9.195,OVERSEAS,FP_39376,0.06,16.3,0.95,11.7,True,1,90,ip_overseas|immig_overseas,1
A000734,U4740,2026-04-21T11:00:00+09:00,211.0.30.246,KR,FP_35823,-0.028,9.0,0.86,8.2,False,0,0,,0
A000114,U5737,2026-04-28T17:00:00+09:00,211.188.58.142,KR,FP_75249,0.058,30.5,0.8,1.8,False,0,0,,0
A000356,U8599,2026-04-25T18:00:00+09:00,211.114.173.48,KR,FP_56735,0.03,13.6,0.83,11.2,False,0,0,,0
A000260,U2589,2026-04-15T16:00:00+09:00,211.0.219.103,KR,FP_90256,0.137,8.9,0.87,14.6,False,0,0,,0
A000264,U5134,2026-04-12T13:00:00+09:00,211.70.195.68,KR,FP_84093,0.078,19.8,0.97,4.9,False,0,0,,0
A000105,U2130,2026-04-18T13:00:00+09:00,211.89.56.13,KR,FP_17276,0.138,21.6,1.01,9.4,False,0,0,,0
A000754,U4199,2026-04-12T15:00:00+09:00,211.246.227.95,KR,FP_31871,0.06,22.3,1.18,9.8,False,0,0,,0
A000977,U1933,2026-04-16T12:00:00+09:00,104.16.34.80,OVERSEAS,FP_29363,0.068,12.5,1.09,0.6,True,1,90,ip_overseas|immig_overseas,1
A000453,U5294,2026-04-06T09:00:00+09:00,211.62.129.246,KR,FP_83693,0.036,29.0,1.28,7.4,False,0,0,,0
A000928,U5202,2026-04-11T11:00:00+09:00,211.220.123.200,KR,FP_25253,0.512,135.7,2.08,114.7,True,1,70,mouse_jitter=136ms|key_burst=2.08|rdp_latency=115ms|immig_overseas,1
A000038,U4921,2026-04-17T13:00:00+09:00,211.209.167.206,KR,FP_91385,0.043,25.0,0.8,10.7,False,0,0,,0
A000027,U8901,2026-04-23T13:00:00+09:00,211.4.153.53,KR,FP_17602,0.04,40.9,0.99,2.1,False,0,0,,0
A000221,U4594,2026-04-29T17:00:00+09:00,211.16.91.161,KR,FP_02053,0.115,16.8,1.0,0,False,0,0,,0
A000671,U9168,2026-04-02T18:00:00+09:00,211.91.133.86,KR,FP_66028,0.005,20.4,0.92,5.4,False,0,0,,0
A000680,U9326,2026-04-05T12:00:00+09:00,211.24.144.165,KR,FP_07280,0.048,7.4,0.93,3.7,False,0,0,,0
A000409,U9440,2026-04-04T15:00:00+09:00,211.68.130.244,KR,FP_30476,0.068,17.8,0.8,1.4,False,0,0,,0
A000338,U6705,2026-04-19T16:00:00+09:00,211.73.161.92,KR,FP_10593,-0.02,21.1,1.13,11.4,False,0,0,,0
A000585,U4574,2026-04-01T15:00:00+09:00,211.126.126.167,KR,FP_56918,-0.043,9.9,0.9,3.5,False,0,0,,0
A000997,U6816,2026-04-03T15:00:00+09:00,104.16.240.150,OVERSEAS,FP_42801,0.013,14.1,1.42,3.3,True,1,90,ip_overseas|immig_overseas,1
A000054,U6044,2026-04-06T18:00:00+09:00,211.58.83.159,KR,FP_14169,-0.051,9.1,0.8,0,False,0,0,,0
A000430,U7723,2026-04-20T14:00:00+09:00,211.187.94.255,KR,FP_55568,0.069,35.1,0.8,12.1,False,0,0,,0
A000376,U8038,2026-04-26T18:00:00+09:00,211.183.37.162,KR,FP_68865,0.056,26.3,1.22,7.5,False,0,0,,0
A000580,U9711,2026-04-19T14:00:00+09:00,211.214.101.166,KR,FP_30155,0.058,11.3,1.27,9.7,False,0,0,,0
