risk_score,industry,region,count,avg_amt,prev_2y,recent_2y,trend,S1_count,S2_amt,S3_trend,score_raw
100.0,건설업,경기,83,62622076,57,26,-0.544,12.729,0.799,-0.544,6.756
81.4,건설업,서울,66,57889568,40,26,-0.35,10.122,0.739,-0.35,5.499
76.5,제조업,경기,62,72965152,44,18,-0.591,9.508,0.931,-0.591,5.17
50.7,도매 및 소매업,서울,39,83270942,29,10,-0.655,5.981,1.062,-0.655,3.424
39.4,정보통신업,서울,25,146540137,16,9,-0.438,3.834,1.87,-0.438,2.665
38.2,제조업,경남,28,84230099,21,7,-0.667,4.294,1.075,-0.667,2.581
33.8,도매 및 소매업,경기,24,71565677,16,8,-0.5,3.681,0.913,-0.5,2.281
31.7,제조업,경북,22,92751420,17,5,-0.706,3.374,1.183,-0.706,2.14
29.1,제조업,서울,16,126080592,9,7,-0.222,2.454,1.609,-0.222,1.969
29.1,전문  과학 및 기술 서비스업,서울,20,76132058,14,6,-0.571,3.067,0.971,-0.571,1.968
28.6,건설업,인천,20,56597482,13,7,-0.462,3.067,0.722,-0.462,1.93
27.8,숙박 및 음식점업,서울,19,69881116,13,6,-0.538,2.914,0.892,-0.538,1.878
25.7,예술  스포츠 및 여가관련 서비스업,서울,4,286319345,2,2,0.0,0.613,3.653,0.0,1.736
25.5,제조업,부산,13,88111196,6,7,0.167,1.994,1.124,0.167,1.723
25.1,운수 및 창고업,서울,3,383865073,3,0,-1.0,0.46,4.897,-1.0,1.699
23.8,사업시설 관리 사업 지원 및 임대 서비스업,서울,16,71026992,12,4,-0.667,2.454,0.906,-0.667,1.61
23.8,건설업,경북,16,59959750,11,5,-0.545,2.454,0.765,-0.545,1.608
22.6,전문  과학 및 기술 서비스업,경기,4,57741085,1,3,2.0,0.613,0.737,2.0,1.528
22.2,건설업,충남,14,76343739,10,4,-0.6,2.147,0.974,-0.6,1.499
21.7,건설업,부산,15,69670187,13,2,-0.846,2.3,0.889,-0.846,1.468
20.5,제조업,대구,3,40257299,0,3,3.0,0.46,0.514,2.0,1.384
20.3,운수 및 창고업,부산,2,231385295,1,1,0.0,0.307,2.952,0.0,1.372
19.9,건설업,광주,13,51945088,9,4,-0.556,1.994,0.663,-0.556,1.344
19.8,전문  과학 및 기술 서비스업,부산,2,47985369,0,2,2.0,0.307,0.612,2.0,1.337
19.7,도매 및 소매업,인천,2,46157373,0,2,2.0,0.307,0.589,2.0,1.33
